category,region,distance,time_required,level,course_name,point_number,point_name,long_,lat_
한강지천길/계절길,용산구중구,8.13Km,2시간,1,청계천길,1105,종각역 지하철 1호선,126.9839195,37.56982956
한강지천길/계절길,용산구중구,8.13Km,2시간,1,청계천길,1106,청계2가 인근,126.985506,37.56829807
한강지천길/계절길,용산구중구,8.13Km,2시간,1,청계천길,1107,청계3가 인근,126.9923228,37.56828024
한강지천길/계절길,용산구중구,8.13Km,2시간,1,청계천길,1108,방산종합상가 인근,127.0004857,37.56930622
한강지천길/계절길,용산구중구,8.13Km,2시간,1,청계천길,1109,청평화시장 인근,127.0149708,37.56974048
한강지천길/계절길,용산구중구,8.13Km,2시간,1,청계천길,1110,롯데캐슬베네치아아파트 인근,127.0216519,37.57184623
한강지천길/계절길,용산구중구,8.13Km,2시간,1,청계천길,1111,한양대역 지하철 2호선,127.0435153,37.55595377
한강지천길/계절길,용산구중구,8.13Km,2시간,1,청계천길,1112,을지로입구역 지하철 2호선,126.9826928,37.56559435
한강지천길/계절길,용산구중구,8.13Km,2시간,1,청계천길,1113,용답역 지하철 2호선,127.0506938,37.56190607
한강지천길/계절길,용산구중구,8.13Km,2시간,1,청계천길,1104,청계광장 인근,126.9779427,37.56914629
생태문화길,용산구중구,1.63km,40분,1,전쟁기념관 산책길,918,전사자영비,126.9780779,37.53608486
생태문화길,용산구중구,1.63km,40분,1,전쟁기념관 산책길,917,옥외전시장,126.9785082,37.53667337
생태문화길,용산구중구,1.63km,40분,1,전쟁기념관 산책길,916,지하철정류장(삼각지역3번출구),126.9719713,37.53314714
생태문화길,용산구중구,3.30km,1시간,2,용산가족 산책길,915,보신각종,126.9823569,37.52300388
생태문화길,용산구중구,3.30km,1시간,2,용산가족 산책길,914,용산가족공원,126.9827383,37.52177399
생태문화길,용산구중구,3.30km,1시간,2,용산가족 산책길,913,거울못,126.9794841,37.5225127
생태문화길,용산구중구,3.30km,1시간,2,용산가족 산책길,912,국립중앙박물관,126.9795263,37.52333048
생태문화길,용산구중구,3.30km,1시간,2,용산가족 산책길,911,지하철정류장(이촌역2번출구),126.9741761,37.52251745
생태문화길,용산구중구,6.02km,2시간,1,덕수궁 산책길,907,서울시 역사박물관,126.9694073,37.57111666
생태문화길,용산구중구,6.02km,2시간,1,덕수궁 산책길,906,경운궁 양이재,126.9753219,37.56735894
생태문화길,용산구중구,6.02km,2시간,1,덕수궁 산책길,905,시청역 2번 출구,126.97699,37.56540579
생태문화길,용산구중구,6.02km,2시간,1,덕수궁 산책길,904,대한문,126.9763776,37.56497829
생태문화길,용산구중구,6.02km,2시간,1,덕수궁 산책길,903,덕수궁돌담길,126.9742758,37.56471662
생태문화길,용산구중구,6.02km,2시간,1,덕수궁 산책길,902,청계천광장,126.9775094,37.56917467
생태문화길,용산구중구,6.02km,2시간,1,덕수궁 산책길,901,지하철정류장(시청역10번출입구),126.9739451,37.56321681
생태문화길,용산구중구,6.02km,2시간,1,덕수궁 산책길,910,버스정류장(서울신문사),126.9768136,37.56852959
생태문화길,용산구중구,6.02km,2시간,1,덕수궁 산책길,909,정동공원,126.9716683,37.56738644
생태문화길,용산구중구,6.02km,2시간,1,덕수궁 산책길,908,경희궁 홍화문,126.969583,37.56960003
생태문화길,용산구중구,2.29km,1시간,1,남산야외식물원 산책길,897,지하철정류장(한강진역1번출입구),127.0016449,37.54030686
생태문화길,용산구중구,2.29km,1시간,1,남산야외식물원 산책길,898,라틴아메리카 공원,126.9981397,37.54117522
생태문화길,용산구중구,2.29km,1시간,1,남산야외식물원 산책길,899,야생화 공원,126.9994809,37.54247484
생태문화길,용산구중구,2.29km,1시간,1,남산야외식물원 산책길,900,팔도소나무 단지,126.9942778,37.54354394
생태문화길,중구중랑구,9.17km,3시간,2,남산 순환 나들길,896,와룡묘,126.9862533,37.55522394
생태문화길,중구중랑구,9.17km,3시간,2,남산 순환 나들길,892,소규모 생물서식공간,126.9901317,37.54834945
생태문화길,중구중랑구,9.17km,3시간,2,남산 순환 나들길,893,식재림,126.9912355,37.54801722
생태문화길,중구중랑구,9.17km,3시간,2,남산 순환 나들길,894,소나무 탐방로,126.9924034,37.54716867
생태문화길,중구중랑구,9.17km,3시간,2,남산 순환 나들길,895,남산 북측 순환로 진입부,126.9915643,37.55577444
생태문화길,중구중랑구,9.17km,3시간,2,남산 순환 나들길,887,장충리틀야구단후문,127.0034332,37.55655114
생태문화길,중구중랑구,9.17km,3시간,2,남산 순환 나들길,888,남산 도서관 앞,126.9826402,37.55247598
생태문화길,중구중랑구,9.17km,3시간,2,남산 순환 나들길,889,남측 순환로,126.9848495,37.55085613
생태문화길,중구중랑구,9.17km,3시간,2,남산 순환 나들길,890,남산N타워,126.9882242,37.55143683
생태문화길,중구중랑구,9.17km,3시간,2,남산 순환 나들길,891,남산공원,126.9913574,37.55044271
생태문화길,중구중랑구,9.17km,3시간,2,남산 순환 나들길,884,지하철정류장(서울역11번출구),126.9739385,37.55348526
생태문화길,중구중랑구,9.17km,3시간,2,남산 순환 나들길,885,버스정류장(명동입구),126.9868416,37.56082859
생태문화길,중구중랑구,9.17km,3시간,2,남산 순환 나들길,886,지하철정류장(충무로역4번출입구),126.9922118,37.56090881
생태문화길,용산구중구,1.88km,1시간,1,한남매봉공원 산책길,879,버스정류장(순천향대학병원),127.0067423,37.53554424
생태문화길,용산구중구,1.88km,1시간,1,한남매봉공원 산책길,880,단국대학교,127.0067142,37.53550505
